name,createdAt,nExperiments,nFailed,nCancelled,nRunning,nCompleted,nQueued,nPending,projectId
cats-v-dogs,2021-03-29T20:55:23.661871+00:00,1,1,0,0,0,0,0,gridai/cats-and-dogs
meteoric-cassowary-287,2021-03-29T18:59:21.086623+00:00,1,1,0,0,0,0,0,gridai/cats-and-dogs
basic2-gan-3-29,2021-03-29T14:47:09.490092+00:00,1,0,1,0,0,0,0,essiequoi/artHaus
neat-wolf-470,2021-03-26T21:29:38.327271+00:00,8,0,8,0,0,0,0,essiequoi/artHaus
jolly-markhor-226,2021-03-26T16:23:58.454083+00:00,8,0,8,0,0,0,0,essiequoi/artHaus
pastel-smilodon-288,2021-03-26T16:16:09.974253+00:00,15,0,0,0,15,0,0,williamfalcon/hello
dramatic-horse-666,2021-03-26T11:57:54.535229+00:00,8,0,8,0,0,0,0,essiequoi/artHaus
statuesque-mole-639,2021-03-26T05:23:58.838915+00:00,15,0,0,0,15,0,0,williamfalcon/hello
elite-sponge-777,2021-03-24T17:49:16.768552+00:00,8,0,8,0,0,0,0,essiequoi/artHaus
hairy-gibbon-373,2021-03-23T21:10:01.293385+00:00,4,0,4,0,0,0,0,pytorchlightning/lightning-bolts
